text,category,confidence,priority
Page keeps reloading and also App crashes on upload,technical,0.78,high
hello bhai,other,0.32,low
login nahi ho raha,authentication,0.85,medium
refund abhi tak nahi mila,billing,0.92,high
Cannot login with correct password,authentication,0.79,high
Modify profile details and also Update phone number,account,0.8,low
App disconnects frequently,network,0.78,high
High latency issue and also High latency issue,network,0.82,medium
mera email address update karna hai,account,0.95,low
Session expired quickly,authentication,0.91,medium
Payment failed but money deducted,billing,0.92,high
thoda help chahiye,other,0.25,low
Connection timeout error,network,0.82,high
OTP not received and also Session expired quickly,authentication,0.93,high
Change email address,account,0.88,low
Session expired quickly and also Account locked unexpectedly,authentication,0.76,high
Button not working,technical,0.81,medium
Page keeps reloading and also White screen after login,technical,0.89,medium
Change email address,account,0.95,low
Cannot login with correct password,authentication,0.76,high
Thanks for support,other,0.26,low
Please check,other,0.27,low
Update phone number,account,0.93,low
Account locked unexpectedly,authentication,0.89,high
Session expired quickly,authentication,0.93,medium
Update username,account,0.86,low
Good morning,other,0.23,low
network issue aa raha hai,network,0.76,medium
Refund not received after cancellation,billing,0.79,medium
Password reset link expired,authentication,0.94,medium
Session expired quickly,authentication,0.83,medium
Account locked unexpectedly,authentication,0.89,high
account details change karni hai and also Update phone number,account,0.85,low
Modify profile details,account,0.8,low
Cannot login with correct password and also Session expired quickly,authentication,0.95,high
Invoice amount incorrect and also Subscription charged after cancellation,billing,0.8,high
OTP not received,authentication,0.92,high
Modify profile details,account,0.84,low
Network unstable,network,0.94,medium
I need help and also I need help,other,0.28,low
Invoice amount incorrect,billing,0.8,medium
Button not working,technical,0.76,medium
thoda help chahiye and also Please check,other,0.28,low
payment cut ho gaya but service nahi mila,billing,0.94,medium
Network unstable,network,0.9,medium
OTP not received,authentication,0.92,high
netwrk unstable,network,0.75,medium
Please check,other,0.28,low
Please check,other,0.38,low
This is not working,other,0.38,low
Hello,other,0.34,low
Network unstable and also App disconnects frequently,network,0.79,high
otp nahi aa raha,authentication,0.88,medium
Page keeps reloading and also Button not working,technical,0.77,medium
hello bhai,other,0.32,low
otp nahi aa raha,authentication,0.92,medium
Hello,other,0.22,low
App disconnects frequently and also Connection timeout error,network,0.87,high
network issue aa raha hai,network,0.83,medium
Update username,account,0.89,low
Thanks for support and also I need help,other,0.27,low
Good morning,other,0.37,low
feature response nahi de raha,technical,0.84,medium
Change email address and also Change email address,account,0.93,low
Subscription charged after cancellation,billing,0.8,high
OTP not received and also Password reset link expired,authentication,0.8,high
OTP not received and also Password reset link expired,authentication,0.77,high
Thanks for support,other,0.2,low
Modify profile details,account,0.78,low
wifi se connect nahi ho raha and also Network unstable,network,0.87,medium
payment cut ho gaya but service nahi mila and also Refund not received after cancellation,billing,0.8,medium
wifi se connect nahi ho raha and also High latency issue,network,0.92,medium
wifi se connect nahi ho raha and also Works on mobile data but not wifi,network,0.86,medium
Password reset link expired and also Account locked unexpectedly,authentication,0.92,high
Good morning,other,0.22,low
App disconnects frequently,network,0.83,high
OTP not received,authentication,0.87,high
High latency issue,network,0.84,medium
Password reset link expired,authentication,0.87,medium
White screen after login,technical,0.94,medium
OTP not received and also Account locked unexpectedly,authentication,0.77,high
Thanks for support and also Hello,other,0.31,low
Invoice amount incorrect,billing,0.84,medium
acount locked unexpectedly,authentication,0.77,medium
Connection timeout error and also Network unstable,network,0.76,high
Invoice amount incorrect,billing,0.77,medium
Feature not responding,technical,0.76,medium
Unexpected server error and also Feature not responding,technical,0.87,high
Payment failed but money deducted,billing,0.86,high
Update phone number,account,0.75,low
Cannot login with correct password,authentication,0.81,high
hello bhai,other,0.25,low
Unexpected server error,technical,0.92,high
login nahi ho raha,authentication,0.92,medium
Update phone number,account,0.8,low
Auto debit happened unexpectedly and also Invoice amount incorrect,billing,0.91,medium
Payment failed but money deducted and also Invoice amount incorrect,billing,0.93,high
Modify profile details,account,0.82,low
Account locked unexpectedly and also Session expired quickly,authentication,0.93,high
Change email address,account,0.82,low
App crashes on upload and also Feature not responding,technical,0.87,high
App disconnects frequently,network,0.89,high
Cannot login with correct password,authentication,0.8,high
Good morning,other,0.38,low
Auto debit happened unexpectedly,billing,0.84,medium
wifi se connect nahi ho raha and also App disconnects frequently,network,0.95,high
Refund not received after cancellation,billing,0.86,medium
Session expired quickly and also Account locked unexpectedly,authentication,0.77,high
app bar bar crash ho raha hai,technical,0.88,high
feature response nahi de raha,technical,0.77,medium
High latency issue,network,0.92,medium
Payment failed but money deducted,billing,0.84,high
Cannot login with correct password,authentication,0.84,high
Works on mobile data but not wifi,network,0.76,medium
Password reset link expired and also Account locked unexpectedly,authentication,0.9,high
app bar bar crash ho raha hai,technical,0.78,high
Payment failed but money deducted,billing,0.82,high
Cannot login with correct password,authentication,0.92,high
Update phone number,account,0.79,low
Update username,account,0.89,low
Payment failed but money deducted and also Subscription charged after cancellation,billing,0.87,high
thoda help chahiye and also Hello,other,0.34,low
refund abhi tak nahi mila,billing,0.82,high
thoda help chahiye,other,0.26,low
Unexpected server error,technical,0.76,high
payment cut ho gaya but service nahi mila and also Charged twice for same order,billing,0.85,high
Auto debit happened unexpectedly,billing,0.9,medium
feature response nahi de raha,technical,0.76,medium
Subscription charged after cancellation,billing,0.78,high
Delete my account,account,0.88,medium
Connection timeout error,network,0.84,high
Change email address,account,0.88,low
refund abhi tak nahi mila and also Refund not received after cancellation,billing,0.91,medium
High latency issue,network,0.85,medium
App disconnects frequently and also Network unstable,network,0.82,high
Password reset link expired,authentication,0.89,medium
Session expired quickly,authentication,0.85,medium
Session expired quickly,authentication,0.86,medium
wifi se connect nahi ho raha,network,0.85,medium
Page keeps reloading,technical,0.86,medium
App crashes on upload,technical,0.94,high
Refund not received after cancellation,billing,0.93,medium
app bar bar crash ho raha hai,technical,0.81,high
wifi se connect nahi ho raha,network,0.79,medium
Charged twice for same order,billing,0.92,high
Hello and also Thanks for support,other,0.39,low
Thanks for support,other,0.4,low
OTP not received,authentication,0.9,high
Refund not received after cancellation,billing,0.93,medium
OTP not received,authentication,0.92,high
Session expired quickly,authentication,0.89,medium
High latency issue,network,0.95,medium
Session expired quickly and also Session expired quickly,authentication,0.93,medium
otp nahi aa raha and also Account locked unexpectedly,authentication,0.94,high
app bar bar crash ho raha hai and also Button not working,technical,0.87,high
feature response nahi de raha,technical,0.82,medium
Update username,account,0.82,low
Payment failed but money deducted,billing,0.88,high
Invoice amount incorrect and also Invoice amount incorrect,billing,0.92,medium
Thanks for support,other,0.34,low
High latency issue,network,0.8,medium
otp nahi aa raha and also Password reset link expired,authentication,0.89,medium
Session expired quickly and also Session expired quickly,authentication,0.83,medium
Modify profile details,account,0.87,low
Cannot login with correct password,authentication,0.92,high
White screen after login,technical,0.81,medium
Network unstable and also High latency issue,network,0.91,medium
Network unstable,network,0.79,medium
I need help,other,0.21,low
payment cut ho gaya but service nahi mila,billing,0.87,medium
hello bhai and also Please check,other,0.27,low
App disconnects frequently,network,0.89,high
Connection timeout error,network,0.81,high
refund abhi tak nahi mila and also Refund not received after cancellation,billing,0.76,medium
Refund not received after cancellation and also Charged twice for same order,billing,0.82,medium
Refund not received after cancellation,billing,0.8,medium
mera email address update karna hai,account,0.92,low
Button not working,technical,0.9,medium
Account locked unexpectedly,authentication,0.75,high
Please check,other,0.27,low
app bar bar crash ho raha hai,technical,0.85,high
High latency issue,network,0.83,medium
Payment failed but money deducted,billing,0.78,high
Page keeps reloading,technical,0.92,medium
OTP not received,authentication,0.77,high
network issue aa raha hai,network,0.8,medium
otp nahi aa raha,authentication,0.81,medium
High latency issue,network,0.94,medium
Good morning,other,0.25,low
Unexpected server error,technical,0.76,high
Please check,other,0.37,low
Please check,other,0.29,low
Invoice amount incorrect,billing,0.9,medium
Good morning,other,0.26,low
Password reset link expired,authentication,0.93,medium
account details change karni hai,account,0.89,medium
Hello,other,0.25,low
otp nahi aa raha,authentication,0.92,medium
Connection timeout error and also High latency issue,network,0.88,high
Password reset link expired,authentication,0.85,medium
Network unstable,network,0.78,medium
App crashes on upload and also Feature not responding,technical,0.9,high
Account locked unexpectedly,authentication,0.75,high
Update phone number,account,0.9,low
Hello,other,0.24,low
App disconnects frequently,network,0.86,high
Update phone number,account,0.86,low
Please check,other,0.2,low
account details change karni hai,account,0.78,medium
Auto debit happened unexpectedly and also Refund not received after cancellation,billing,0.88,medium
Charged twice for same order,billing,0.8,high
Refund not received after cancellation and also Refund not received after cancellation,billing,0.79,medium
Update username,account,0.83,low
Good morning,other,0.25,low
Unexpected server error,technical,0.84,high
Subscription charged after cancellation and also Subscription charged after cancellation,billing,0.82,high
Cannot login with correct password,authentication,0.76,high
wifi se connect nahi ho raha,network,0.91,medium
mera email address update karna hai,account,0.9,low
thoda help chahiye,other,0.36,low
Connection timeout error and also Works on mobile data but not wifi,network,0.87,high
Please check,other,0.25,low
feature response nahi de raha and also Feature not responding,technical,0.78,medium
hello bhai,other,0.38,low
OTP not received,authentication,0.81,high
Please check,other,0.26,low
login nahi ho raha,authentication,0.78,medium
Good morning,other,0.39,low
Works on mobile data but not wifi,network,0.75,medium
Cannot login with correct password,authentication,0.89,high
Thanks for support,other,0.32,low
Subscription charged after cancellation,billing,0.83,high
White screen after login and also Feature not responding,technical,0.93,medium
Cannot login with correct password and also Session expired quickly,authentication,0.93,high
Update username and also Modify profile details,account,0.91,low
Auto debit happened unexpectedly,billing,0.8,medium
Button not working,technical,0.85,medium
Modify profile details,account,0.94,low
I need help,other,0.25,low
Update username and also Update phone number,account,0.83,low
Change email address,account,0.92,low
Refund not received after cancellation,billing,0.75,medium
refund abhi tak nahi mila,billing,0.89,high
Update username and also Change email address,account,0.88,low
Refund not received after cancellation,billing,0.76,medium
Cannot login with correct password and also Session expired quickly,authentication,0.75,high
wifi se connect nahi ho raha,network,0.91,medium
mera email address update karna hai,account,0.86,low
wifi se connect nahi ho raha,network,0.89,medium
Works on mobile data but not wifi,network,0.87,medium
wifi se connect nahi ho raha and also High latency issue,network,0.91,medium
App disconnects frequently and also High latency issue,network,0.83,high
This is not working and also I need help,other,0.39,low
Change email address,account,0.9,low
Auto debit happened unexpectedly,billing,0.89,medium
Good morning,other,0.24,low
Feature not responding,technical,0.91,medium
account details change karni hai,account,0.81,medium
wifi se connect nahi ho raha and also High latency issue,network,0.91,medium
Button not working and also Unexpected server error,technical,0.78,high
Update phone number and also Update username,account,0.94,low
Cannot login with correct password,authentication,0.8,high
App disconnects frequently,network,0.81,high
hello bhai,other,0.31,low
Feature not responding and also White screen after login,technical,0.92,medium
Connection timeout error,network,0.84,high
Payment failed but money deducted,billing,0.86,high
Network unstable,network,0.9,medium
Delete my account,account,0.9,medium
account details change karni hai,account,0.85,medium
High latency issue,network,0.78,medium
Delete my account,account,0.92,medium
netwrk unstable,network,0.77,medium
Connection timeout error,network,0.9,high
Network unstable,network,0.84,medium
App crashes on upload,technical,0.79,high
High latency issue and also App disconnects frequently,network,0.91,high
Page keeps reloading and also Page keeps reloading,technical,0.75,medium
Charged twice for same order and also Subscription charged after cancellation,billing,0.84,high
Account locked unexpectedly,authentication,0.79,high
network issue aa raha hai and also Works on mobile data but not wifi,network,0.81,medium
mera email address update karna hai and also Delete my account,account,0.95,medium
pymnt failed but money deducted,billing,0.83,high
Unexpected server error,technical,0.76,high
account details change karni hai,account,0.84,medium
Charged twice for same order,billing,0.95,high
